eyelib-test-fixation,2019-10-02T16:39:26
timestamp (ms),epoch (ms),target duration (ms),,,DT points,DT dmax,VT dmax
21278232,1570048766898,750,750,0,4,30,7
eye tracker,,target,,,raw gaze,,smoothed gaze,,fixation detection,,,,,fixation on object (ET)
timestamp (ms),tracking,x,y,active,x,y,x,y,ET,DT,dispersion,VT,displacement,target ID,fixation point error,count of fixations,sum duration (ms),average duration (ms),interval (ms)
238224553,true,0,0,false,532.972,507.536,417.976,559.998,false,false,109.144,false,20.6204,
238224570,true,0,0,false,528.518,507.785,433.703,555.303,false,false,80.8234,false,16.4125,
238224587,true,0,0,false,543.083,517.378,445.684,549.309,false,false,64.8241,false,13.3972,
238224603,true,0,0,false,540.522,523.732,455.912,544.63,false,false,53.3038,false,11.2475,
238224620,true,0,0,false,554.769,524.49,525.331,486.938,false,false,159.994,false,90.2632,
238224637,true,0,0,false,547.411,517.047,537.403,512.465,false,false,154.091,false,28.2378,
238224653,true,0,0,false,539.307,514.411,545.985,531.384,false,false,147.765,false,20.7744,
238224670,true,0,0,false,576.502,504.618,554.221,505.678,false,false,73.3366,false,26.9926,
238224686,true,0,0,false,679.359,463.172,571.896,488.871,false,false,77.0055,false,24.3901,
238224703,true,0,0,false,681.844,456.654,586.62,477.447,false,false,94.5718,false,18.636,
238224720,true,0,0,false,684.3,453.871,598.392,469.759,false,false,80.0908,false,14.0607,
238224736,true,0,0,false,680.76,467.035,607.538,464.33,false,false,60.1831,false,10.6355,
238224753,true,0,0,false,691.899,476.343,613.247,464.029,false,false,40.0448,true,5.71678,
238224770,true,0,0,false,693.978,469.42,618.737,463.313,false,true,26.7912,true,5.53718,
238224787,true,0,0,false,689.792,470.636,623.618,462.604,false,false,32.3808,true,4.932,
238224803,true,0,0,false,681.031,473.267,628.957,460.263,false,false,0,true,5.8291,
238224820,true,0,0,false,698.547,462.551,632.16,461.364,true,false,0,true,3.387,
238224836,true,0,0,false,685.051,491.095,634.532,463.77,true,true,14.4203,true,3.37833,
238224853,true,0,0,false,694.822,451.751,636.005,467.99,true,true,20.1139,true,4.47013,
238224870,true,0,0,false,699.431,490.078,640.172,468.251,true,true,24.5418,true,4.17561,
238224886,true,0,0,false,698.741,471.407,643.201,469.44,true,true,28.7592,true,3.25341,
238224903,true,0,0,false,687.826,496.61,645.659,471.348,true,false,33.1253,true,3.11175,
238224919,true,0,0,false,675.748,461.921,648.122,472.066,true,false,0,true,2.565,
238224936,true,0,0,false,674.692,489.574,650.199,473.754,true,false,0,true,2.67679,
238224953,true,0,0,false,679.298,461.867,652.34,474.285,true,true,9.6188,true,2.20615,
238224970,true,0,0,false,672.025,470.403,654.283,475.052,true,true,12.3278,true,2.08819,
238224986,true,0,0,false,686.252,469.712,656.19,475.334,true,true,14.5166,true,1.92754,
238225003,true,0,0,false,679.862,431.326,658.036,474.938,true,true,16.3631,true,1.88844,
238225019,true,0,0,false,673.935,485.046,659.707,475.23,true,true,18.0341,true,1.69631,
238225036,true,0,0,false,693.027,453.007,661.357,476.14,true,true,20.4906,true,1.8845,
238225054,true,0,0,false,679.897,460.229,662.942,476.821,true,true,22.756,true,1.72474,
238225069,true,0,0,false,679.745,464.682,664.421,476.966,true,true,24.3799,true,1.48608,
238225086,true,0,0,false,687.963,478.665,665.805,476.631,true,true,25.7639,true,1.42399,
238225103,true,0,0,false,667.331,433.965,667.021,475.869,true,true,26.9804,true,1.43508,
238225119,true,0,0,false,683.631,442.817,668.361,476.507,true,true,28.3203,true,1.48401,
238225136,true,0,0,false,685.552,468.164,669.499,476.005,true,true,29.4579,true,1.24367,
238225153,true,0,0,false,673.767,455.119,670.504,475.168,true,false,30.463,true,1.3075,
238225169,true,0,0,false,691.189,478.889,671.531,474.759,true,false,0,true,1.10593,
238225186,true,0,0,false,687.162,443.765,672.577,474.797,true,false,0,true,1.04655,
238225203,true,0,0,false,684.819,443.967,673.368,473.338,true,true,4.69403,true,1.65866,
238225219,true,0,0,false,673.513,461.892,674.307,473.357,true,true,5.63324,true,0.9394,
238225236,true,0,0,false,679.142,486.172,680.537,461.046,false,true,24.1557,false,13.798,
238225252,true,0,0,false,682.021,444.614,678.699,449.594,false,false,35.6071,false,11.5978,
238225269,true,0,0,false,682.992,444.919,681.59,464.303,false,false,0,false,14.9906,
238225286,true,0,0,false,678.316,465.453,681.349,462.758,false,false,0,true,1.56426,
238225302,true,0,0,false,676.156,468.076,681.369,463.042,false,true,17.6001,true,0.284742,
238225319,true,0,0,false,687.458,491.95,681.234,462.527,false,true,17.6001,true,0.532521,
238225336,true,0,0,false,697.425,473.992,681.695,463.989,false,true,17.7047,true,1.53307,
238225352,true,0,0,false,699.869,503.457,682.343,465.783,false,true,19.8319,true,1.90744,
238225369,true,0,0,false,680.949,466.784,681.18,461.276,false,true,19.8319,true,4.65431,
238225386,true,0,0,false,683.791,447.889,680.912,459.728,false,true,19.8319,true,1.57145,
238225402,true,0,0,false,696.55,422.365,681.325,457.711,false,true,19.8319,true,2.05842,
238225419,true,0,0,false,698.357,478.117,681.716,456.934,false,true,19.8319,true,0.869618,
238225436,true,0,0,false,671.025,458.638,681.762,456.195,true,true,19.8319,true,0.740453,
238225452,true,0,0,false,682.123,438.161,681.88,455.408,true,true,19.8319,true,0.796159,
238225469,true,0,0,false,691.9,465.692,682.008,454.715,true,true,19.8319,true,0.704679,
238225486,true,0,0,false,675.097,445.522,682.144,454.254,true,true,19.8319,true,0.480914,
238225502,true,0,0,false,684.618,449.483,682.36,453.993,true,true,19.8498,true,0.339278,
238225519,true,0,0,false,690.231,442.885,682.721,453.977,true,true,20.2105,true,0.361077,
238225536,true,0,0,false,687.413,458.36,682.969,453.819,true,true,20.4586,true,0.293878,
238225552,true,0,0,false,686.946,426.564,683.308,453.75,true,true,20.7976,true,0.346001,
238225569,true,0,0,false,697.887,455.892,683.744,453.932,true,true,21.2337,true,0.472706,
238225585,true,0,0,false,703.548,449.323,684.636,455.171,true,true,22.1255,true,1.52676,
238225602,true,0,0,false,682.728,460.705,684.802,454.767,true,true,22.2909,true,0.43697,
238225619,true,0,0,false,676.211,428.55,684.471,452.943,true,true,22.2909,true,1.85326,
238225635,true,0,0,false,664.117,429.363,684.548,452.607,true,true,22.2909,true,0.345412,
238225653,true,0,0,false,691.516,466.216,684.708,452.538,true,true,22.2909,true,0.174448,
