eyelib-datalog,2016-10-10T16:31:12
time_sync_ms,timestamp,time_ms,tracking.bits,tracking.gaze,tracking.eyes,tracking.user,tracking.fail,tracking.lost,fixation,raw_px.x,raw_px.y,avg_px.x,avg_px.y,pupil_left.center.x,pupil_left.center.y,pupil_left.size,pupil_right.center.x,pupil_right.center.y,pupil_right.size
28667404,2016-10-10 16:31:15.993,810209817,0x07,true,true,true,false,false,true,882.26,650.96,958.521,585.402,0,0,0,0.5655,0.4675,24.3918
28667435,2016-10-10 16:31:16.027,810209851,0x07,true,true,true,false,false,true,889.367,676.169,957.276,588.192,0,0,0,0.5659,0.4677,24.2891
28667466,2016-10-10 16:31:16.060,810209884,0x04,false,false,true,false,false,false,0,0,0,0,0,0,0,0.5664,0.4675,24.9773
28667513,2016-10-10 16:31:16.093,810209917,0x07,true,true,true,false,false,true,909.461,641.257,961.778,588.351,0,0,0,0.5673,0.4675,25.2061
28667544,2016-10-10 16:31:16.127,810209951,0x07,true,true,true,false,false,true,948.972,645.083,960.338,595.084,0,0,0,0.5677,0.4677,25.2347
28667575,2016-10-10 16:31:16.160,810209984,0x07,true,true,true,false,false,true,888.605,560.033,955.907,596.056,0,0,0,0.5675,0.4677,24.9483
28667606,2016-10-10 16:31:16.193,810210017,0x07,true,true,true,false,false,true,942.331,666.725,952.943,598.99,0,0,0,0.5675,0.4682,25.0632
28667638,2016-10-10 16:31:16.226,810210050,0x07,true,true,true,false,false,true,970.93,630.2,951.421,601.659,0,0,0,0.5674,0.4683,24.8213
28667669,2016-10-10 16:31:16.260,810210084,0x07,true,true,true,false,false,true,891.736,600.509,949.285,603.551,0,0,0,0.5673,0.4685,25.1202
28667700,2016-10-10 16:31:16.293,810210117,0x07,true,true,true,false,false,true,908.175,646.377,947.103,605.582,0,0,0,0.5675,0.4689,24.7465
28667747,2016-10-10 16:31:16.326,810210150,0x07,true,true,true,false,false,true,979.469,632.955,945.768,607.492,0,0,0,0.5679,0.4689,25.2687
28667778,2016-10-10 16:31:16.360,810210184,0x07,true,true,true,false,false,true,919.655,682.773,944.437,609.771,0,0,0,0.568,0.469,25.9259
28667809,2016-10-10 16:31:16.393,810210217,0x07,true,true,true,false,false,true,905.255,606.734,943.008,611.632,0,0,0,0.5685,0.4686,24.7792
28667840,2016-10-10 16:31:16.426,810210250,0x07,true,true,true,false,false,true,884.774,599.683,941.37,613.109,0,0,0,0.5688,0.4685,25.329
28667872,2016-10-10 16:31:16.460,810210284,0x07,true,true,true,false,false,true,933.727,634.319,939.916,614.508,0,0,0,0.569,0.4684,25.4011
28667903,2016-10-10 16:31:16.493,810210317,0x07,true,true,true,false,false,true,967.061,629.746,938.822,615.806,0,0,0,0.569,0.4684,25.9249
28667950,2016-10-10 16:31:16.526,810210350,0x07,true,true,true,false,false,true,894.636,703.043,937.625,617.419,0,0,0,0.5685,0.4688,25.3824
28667981,2016-10-10 16:31:16.559,810210383,0x07,true,true,true,false,false,true,921.264,606.727,936.488,618.788,0,0,0,0.5683,0.4686,25.4627
28668012,2016-10-10 16:31:16.593,810210417,0x07,true,true,true,false,false,true,910.126,679.361,935.355,620.292,0,0,0,0.568,0.469,26.0755
28668043,2016-10-10 16:31:16.626,810210450,0x07,true,true,true,false,false,true,945.755,677.945,934.392,621.899,0,0,0,0.5678,0.4691,26.5218
28668074,2016-10-10 16:31:16.659,810210483,0x07,true,true,true,false,false,true,916.192,611.082,933.458,623.302,0,0,0,0.5677,0.4688,25.5202
28668121,2016-10-10 16:31:16.693,810210517,0x07,true,true,true,false,false,false,936.067,619.365,925.335,636.843,0,0,0,0.5678,0.4687,24.9965
28668137,2016-10-10 16:31:16.726,810210550,0x07,true,true,true,false,false,false,914.618,625.534,924.588,636.219,0,0,0,0.5677,0.4687,25.8031
28668184,2016-10-10 16:31:16.759,810210583,0x07,true,true,true,false,false,false,1247.86,282.909,964.888,604.602,0,0,0,0.5691,0.4675,30.5221
28668199,2016-10-10 16:31:16.793,810210617,0x07,true,true,true,false,false,false,1245.11,622.404,1058.76,610.508,0,0,0,0.569,0.4688,28.9255
28668246,2016-10-10 16:31:16.826,810210650,0x07,true,true,true,false,false,false,1164.64,741.937,1096.01,628.586,0,0,0,0.5686,0.4693,29.3031
28668277,2016-10-10 16:31:16.859,810210683,0x07,true,true,true,false,false,false,967.319,590.182,1102.49,633.341,0,0,0,0.5679,0.4687,28.1892
28668308,2016-10-10 16:31:16.893,810210717,0x07,true,true,true,false,false,false,1033.08,589.731,1101.65,635.9,0,0,0,0.5682,0.4688,27.2124
28668340,2016-10-10 16:31:16.926,810210750,0x07,true,true,true,false,false,false,1148.09,587.838,1110.66,626.012,0,0,0,0.5687,0.4691,28.2415
28668386,2016-10-10 16:31:16.959,810210783,0x07,true,true,true,false,false,false,1111.42,647.992,1101.7,592.2,0,0,0,0.5686,0.4694,28.5569
28668418,2016-10-10 16:31:16.993,810210817,0x07,true,true,true,false,false,false,935.455,672.694,1046.03,619.088,0,0,0,0.5682,0.4696,27.3129
28668433,2016-10-10 16:31:17.026,810210850,0x07,true,true,true,false,false,false,963.384,598.175,1021.45,623.259,0,0,0,0.5685,0.4693,27.5091
28668480,2016-10-10 16:31:17.059,810210883,0x07,true,true,true,false,false,false,938.913,660.599,1005.79,627.496,0,0,0,0.5685,0.4696,27.4074
28668511,2016-10-10 16:31:17.092,810210916,0x07,true,true,true,false,false,true,975.04,694.572,996.435,632.549,0,0,0,0.5687,0.4698,27.4389
28668542,2016-10-10 16:31:17.126,810210950,0x07,true,true,true,false,false,true,1300.19,751.846,1000.04,639.093,0,0,0,0.5697,0.4701,30.4382
28668574,2016-10-10 16:31:17.159,810210983,0x07,true,true,true,false,false,true,1115.31,675.295,1002.92,634.322,0,0,0,0.5692,0.4696,27.9994
28668605,2016-10-10 16:31:17.192,810211016,0x07,true,true,true,false,false,true,1164.13,584.497,1021.65,628.564,0,0,0,0.5695,0.4692,28.8863
28668652,2016-10-10 16:31:17.226,810211050,0x07,true,true,true,false,false,true,940.284,612.044,1025.05,625.297,0,0,0,0.5689,0.4692,27.8498
28668683,2016-10-10 16:31:17.259,810211083,0x07,true,true,true,false,false,true,892.201,681.365,1022.6,625.295,0,0,0,0.5686,0.4695,26.8154
28668714,2016-10-10 16:31:17.292,810211116,0x07,true,true,true,false,false,true,925.82,669.358,1018.77,626.313,0,0,0,0.5688,0.4695,27.0386
28668745,2016-10-10 16:31:17.326,810211150,0x07,true,true,true,false,false,true,1011.77,754.742,1015.94,629.295,0,0,0,0.5696,0.4693,26.3058
28668776,2016-10-10 16:31:17.359,810211183,0x07,true,true,true,false,false,true,1110.89,1324.19,1015.17,627.259,0,0,0,0.5708,0.471,21.6536
28668854,2016-10-10 16:31:17.392,810211216,0x04,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0
28668854,2016-10-10 16:31:17.426,810211250,0x04,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0
28668870,2016-10-10 16:31:17.458,810211282,0x04,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0
28668901,2016-10-10 16:31:17.492,810211316,0x04,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0
28668932,2016-10-10 16:31:17.525,810211349,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
28668964,2016-10-10 16:31:17.559,810211383,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
28668995,2016-10-10 16:31:17.592,810211416,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
28669026,2016-10-10 16:31:17.625,810211449,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
28669073,2016-10-10 16:31:17.659,810211483,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
28669104,2016-10-10 16:31:17.692,810211516,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
28669182,2016-10-10 16:31:17.725,810211549,0x08,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0
